TimeKey,Date,Year,Quarter,Month,Week,Day,Weekday,FiscalYear,FiscalQuarter
106,2000-04-19,2000,2000Q2,April,16,19,Wednesday,2000,2000Q2
107,2000-04-20,2000,2000Q2,April,16,20,Thursday,2000,2000Q2
108,2000-04-21,2000,2000Q2,April,16,21,Friday,2000,2000Q2
109,2000-04-22,2000,2000Q2,April,16,22,Saturday,2000,2000Q2
110,2000-04-23,2000,2000Q2,April,16,23,Sunday,2000,2000Q2
111,2000-04-24,2000,2000Q2,April,17,24,Monday,2000,2000Q2
112,2000-04-25,2000,2000Q2,April,17,25,Tuesday,2000,2000Q2
113,2000-04-26,2000,2000Q2,April,17,26,Wednesday,2000,2000Q2
114,2000-04-27,2000,2000Q2,April,17,27,Thursday,2000,2000Q2
115,2000-04-28,2000,2000Q2,April,17,28,Friday,2000,2000Q2
116,2000-04-29,2000,2000Q2,April,17,29,Saturday,2000,2000Q2
117,2000-04-30,2000,2000Q2,April,17,30,Sunday,2000,2000Q2
118,2000-05-01,2000,2000Q2,May,18,1,Monday,2000,2000Q2
119,2000-05-02,2000,2000Q2,May,18,2,Tuesday,2000,2000Q2
120,2000-05-03,2000,2000Q2,May,18,3,Wednesday,2000,2000Q2
121,2000-05-04,2000,2000Q2,May,18,4,Thursday,2000,2000Q2
122,2000-05-05,2000,2000Q2,May,18,5,Friday,2000,2000Q2
123,2000-05-06,2000,2000Q2,May,18,6,Saturday,2000,2000Q2
124,2000-05-07,2000,2000Q2,May,18,7,Sunday,2000,2000Q2
125,2000-05-08,2000,2000Q2,May,19,8,Monday,2000,2000Q2
126,2000-05-09,2000,2000Q2,May,19,9,Tuesday,2000,2000Q2
127,2000-05-10,2000,2000Q2,May,19,10,Wednesday,2000,2000Q2
128,2000-05-11,2000,2000Q2,May,19,11,Thursday,2000,2000Q2
129,2000-05-12,2000,2000Q2,May,19,12,Friday,2000,2000Q2
130,2000-05-13,2000,2000Q2,May,19,13,Saturday,2000,2000Q2
131,2000-05-14,2000,2000Q2,May,19,14,Sunday,2000,2000Q2
132,2000-05-15,2000,2000Q2,May,20,15,Monday,2000,2000Q2
133,2000-05-16,2000,2000Q2,May,20,16,Tuesday,2000,2000Q2
134,2000-05-17,2000,2000Q2,May,20,17,Wednesday,2000,2000Q2
135,2000-05-18,2000,2000Q2,May,20,18,Thursday,2000,2000Q2
136,2000-05-19,2000,2000Q2,May,20,19,Friday,2000,2000Q2
137,2000-05-20,2000,2000Q2,May,20,20,Saturday,2000,2000Q2
138,2000-05-21,2000,2000Q2,May,20,21,Sunday,2000,2000Q2
139,2000-05-22,2000,2000Q2,May,21,22,Monday,2000,2000Q2
140,2000-05-23,2000,2000Q2,May,21,23,Tuesday,2000,2000Q2
141,2000-05-24,2000,2000Q2,May,21,24,Wednesday,2000,2000Q2
142,2000-05-25,2000,2000Q2,May,21,25,Thursday,2000,2000Q2
143,2000-05-26,2000,2000Q2,May,21,26,Friday,2000,2000Q2
144,2000-05-27,2000,2000Q2,May,21,27,Saturday,2000,2000Q2
145,2000-05-28,2000,2000Q2,May,21,28,Sunday,2000,2000Q2
146,2000-05-29,2000,2000Q2,May,22,29,Monday,2000,2000Q2
147,2000-05-30,2000,2000Q2,May,22,30,Tuesday,2000,2000Q2
148,2000-05-31,2000,2000Q2,May,22,31,Wednesday,2000,2000Q2
149,2000-06-01,2000,2000Q2,June,22,1,Thursday,2000,2000Q2
150,2000-06-02,2000,2000Q2,June,22,2,Friday,2000,2000Q2
151,2000-06-03,2000,2000Q2,June,22,3,Saturday,2000,2000Q2
152,2000-06-04,2000,2000Q2,June,22,4,Sunday,2000,2000Q2
153,2000-06-05,2000,2000Q2,June,23,5,Monday,2000,2000Q2
154,2000-06-06,2000,2000Q2,June,23,6,Tuesday,2000,2000Q2
155,2000-06-07,2000,2000Q2,June,23,7,Wednesday,2000,2000Q2
156,2000-06-08,2000,2000Q2,June,23,8,Thursday,2000,2000Q2
157,2000-06-09,2000,2000Q2,June,23,9,Friday,2000,2000Q2
158,2000-06-10,2000,2000Q2,June,23,10,Saturday,2000,2000Q2
159,2000-06-11,2000,2000Q2,June,23,11,Sunday,2000,2000Q2
160,2000-06-12,2000,2000Q2,June,24,12,Monday,2000,2000Q2
161,2000-06-13,2000,2000Q2,June,24,13,Tuesday,2000,2000Q2
162,2000-06-14,2000,2000Q2,June,24,14,Wednesday,2000,2000Q2
163,2000-06-15,2000,2000Q2,June,24,15,Thursday,2000,2000Q2
164,2000-06-16,2000,2000Q2,June,24,16,Friday,2000,2000Q2
165,2000-06-17,2000,2000Q2,June,24,17,Saturday,2000,2000Q2
166,2000-06-18,2000,2000Q2,June,24,18,Sunday,2000,2000Q2
167,2000-06-19,2000,2000Q2,June,25,19,Monday,2000,2000Q2
168,2000-06-20,2000,2000Q2,June,25,20,Tuesday,2000,2000Q2
169,2000-06-21,2000,2000Q2,June,25,21,Wednesday,2000,2000Q2
170,2000-06-22,2000,2000Q2,June,25,22,Thursday,2000,2000Q2
171,2000-06-23,2000,2000Q2,June,25,23,Friday,2000,2000Q2
172,2000-06-24,2000,2000Q2,June,25,24,Saturday,2000,2000Q2
173,2000-06-25,2000,2000Q2,June,25,25,Sunday,2000,2000Q2
174,2000-06-26,2000,2000Q2,June,26,26,Monday,2000,2000Q2
175,2000-06-27,2000,2000Q2,June,26,27,Tuesday,2000,2000Q2
176,2000-06-28,2000,2000Q2,June,26,28,Wednesday,2000,2000Q2
177,2000-06-29,2000,2000Q2,June,26,29,Thursday,2000,2000Q2
178,2000-06-30,2000,2000Q2,June,26,30,Friday,2000,2000Q2
179,2000-07-01,2000,2000Q3,July,26,1,Saturday,2000,2000Q3
180,2000-07-02,2000,2000Q3,July,26,2,Sunday,2000,2000Q3
181,2000-07-03,2000,2000Q3,July,27,3,Monday,2000,2000Q3
182,2000-07-04,2000,2000Q3,July,27,4,Tuesday,2000,2000Q3
183,2000-07-05,2000,2000Q3,July,27,5,Wednesday,2000,2000Q3
184,2000-07-06,2000,2000Q3,July,27,6,Thursday,2000,2000Q3
185,2000-07-07,2000,2000Q3,July,27,7,Friday,2000,2000Q3
186,2000-07-08,2000,2000Q3,July,27,8,Saturday,2000,2000Q3
187,2000-07-09,2000,2000Q3,July,27,9,Sunday,2000,2000Q3
188,2000-07-10,2000,2000Q3,July,28,10,Monday,2000,2000Q3
189,2000-07-11,2000,2000Q3,July,28,11,Tuesday,2000,2000Q3
190,2000-07-12,2000,2000Q3,July,28,12,Wednesday,2000,2000Q3
191,2000-07-13,2000,2000Q3,July,28,13,Thursday,2000,2000Q3
192,2000-07-14,2000,2000Q3,July,28,14,Friday,2000,2000Q3
193,2000-07-15,2000,2000Q3,July,28,15,Saturday,2000,2000Q3
194,2000-07-16,2000,2000Q3,July,28,16,Sunday,2000,2000Q3
195,2000-07-17,2000,2000Q3,July,29,17,Monday,2000,2000Q3
196,2000-07-18,2000,2000Q3,July,29,18,Tuesday,2000,2000Q3
197,2000-07-19,2000,2000Q3,July,29,19,Wednesday,2000,2000Q3
198,2000-07-20,2000,2000Q3,July,29,20,Thursday,2000,2000Q3
199,2000-07-21,2000,2000Q3,July,29,21,Friday,2000,2000Q3
200,2000-07-22,2000,2000Q3,July,29,22,Saturday,2000,2000Q3
201,2000-07-23,2000,2000Q3,July,29,23,Sunday,2000,2000Q3
202,2000-07-24,2000,2000Q3,July,30,24,Monday,2000,2000Q3
203,2000-07-25,2000,2000Q3,July,30,25,Tuesday,2000,2000Q3
204,2000-07-26,2000,2000Q3,July,30,26,Wednesday,2000,2000Q3
205,2000-07-27,2000,2000Q3,July,30,27,Thursday,2000,2000Q3
206,2000-07-28,2000,2000Q3,July,30,28,Friday,2000,2000Q3
207,2000-07-29,2000,2000Q3,July,30,29,Saturday,2000,2000Q3
208,2000-07-30,2000,2000Q3,July,30,30,Sunday,2000,2000Q3
209,2000-07-31,2000,2000Q3,July,31,31,Monday,2000,2000Q3
210,2000-08-01,2000,2000Q3,August,31,1,Tuesday,2000,2000Q3
211,2000-08-02,2000,2000Q3,August,31,2,Wednesday,2000,2000Q3
212,2000-08-03,2000,2000Q3,August,31,3,Thursday,2000,2000Q3
213,2000-08-04,2000,2000Q3,August,31,4,Friday,2000,2000Q3
214,2000-08-05,2000,2000Q3,August,31,5,Saturday,2000,2000Q3
215,2000-08-06,2000,2000Q3,August,31,6,Sunday,2000,2000Q3
216,2000-08-07,2000,2000Q3,August,32,7,Monday,2000,2000Q3
217,2000-08-08,2000,2000Q3,August,32,8,Tuesday,2000,2000Q3
218,2000-08-09,2000,2000Q3,August,32,9,Wednesday,2000,2000Q3
219,2000-08-10,2000,2000Q3,August,32,10,Thursday,2000,2000Q3
220,2000-08-11,2000,2000Q3,August,32,11,Friday,2000,2000Q3
221,2000-08-12,2000,2000Q3,August,32,12,Saturday,2000,2000Q3
222,2000-08-13,2000,2000Q3,August,32,13,Sunday,2000,2000Q3
223,2000-08-14,2000,2000Q3,August,33,14,Monday,2000,2000Q3
224,2000-08-15,2000,2000Q3,August,33,15,Tuesday,2000,2000Q3
225,2000-08-16,2000,2000Q3,August,33,16,Wednesday,2000,2000Q3
226,2000-08-17,2000,2000Q3,August,33,17,Thursday,2000,2000Q3
227,2000-08-18,2000,2000Q3,August,33,18,Friday,2000,2000Q3
228,2000-08-19,2000,2000Q3,August,33,19,Saturday,2000,2000Q3
229,2000-08-20,2000,2000Q3,August,33,20,Sunday,2000,2000Q3
230,2000-08-21,2000,2000Q3,August,34,21,Monday,2000,2000Q3
231,2000-08-22,2000,2000Q3,August,34,22,Tuesday,2000,2000Q3
232,2000-08-23,2000,2000Q3,August,34,23,Wednesday,2000,2000Q3
233,2000-08-24,2000,2000Q3,August,34,24,Thursday,2000,2000Q3
234,2000-08-25,2000,2000Q3,August,34,25,Friday,2000,2000Q3
235,2000-08-26,2000,2000Q3,August,34,26,Saturday,2000,2000Q3
236,2000-08-27,2000,2000Q3,August,34,27,Sunday,2000,2000Q3
237,2000-08-28,2000,2000Q3,August,35,28,Monday,2000,2000Q3
238,2000-08-29,2000,2000Q3,August,35,29,Tuesday,2000,2000Q3
239,2000-08-30,2000,2000Q3,August,35,30,Wednesday,2000,2000Q3
240,2000-08-31,2000,2000Q3,August,35,31,Thursday,2000,2000Q3
241,2000-09-01,2000,2000Q3,September,35,1,Friday,2000,2000Q3
242,2000-09-02,2000,2000Q3,September,35,2,Saturday,2000,2000Q3
243,2000-09-03,2000,2000Q3,September,35,3,Sunday,2000,2000Q3
244,2000-09-04,2000,2000Q3,September,36,4,Monday,2000,2000Q3
245,2000-09-05,2000,2000Q3,September,36,5,Tuesday,2000,2000Q3
246,2000-09-06,2000,2000Q3,September,36,6,Wednesday,2000,2000Q3
247,2000-09-07,2000,2000Q3,September,36,7,Thursday,2000,2000Q3
248,2000-09-08,2000,2000Q3,September,36,8,Friday,2000,2000Q3
249,2000-09-09,2000,2000Q3,September,36,9,Saturday,2000,2000Q3
250,2000-09-10,2000,2000Q3,September,36,10,Sunday,2000,2000Q3
251,2000-09-11,2000,2000Q3,September,37,11,Monday,2000,2000Q3
252,2000-09-12,2000,2000Q3,September,37,12,Tuesday,2000,2000Q3
253,2000-09-13,2000,2000Q3,September,37,13,Wednesday,2000,2000Q3
254,2000-09-14,2000,2000Q3,September,37,14,Thursday,2000,2000Q3
255,2000-09-15,2000,2000Q3,September,37,15,Friday,2000,2000Q3
256,2000-09-16,2000,2000Q3,September,37,16,Saturday,2000,2000Q3
257,2000-09-17,2000,2000Q3,September,37,17,Sunday,2000,2000Q3
258,2000-09-18,2000,2000Q3,September,38,18,Monday,2000,2000Q3
259,2000-09-19,2000,2000Q3,September,38,19,Tuesday,2000,2000Q3
260,2000-09-20,2000,2000Q3,September,38,20,Wednesday,2000,2000Q3
261,2000-09-21,2000,2000Q3,September,38,21,Thursday,2000,2000Q3
262,2000-09-22,2000,2000Q3,September,38,22,Friday,2000,2000Q3
263,2000-09-23,2000,2000Q3,September,38,23,Saturday,2000,2000Q3
264,2000-09-24,2000,2000Q3,September,38,24,Sunday,2000,2000Q3
265,2000-09-25,2000,2000Q3,September,39,25,Monday,2000,2000Q3
266,2000-09-26,2000,2000Q3,September,39,26,Tuesday,2000,2000Q3
267,2000-09-27,2000,2000Q3,September,39,27,Wednesday,2000,2000Q3
268,2000-09-28,2000,2000Q3,September,39,28,Thursday,2000,2000Q3
269,2000-09-29,2000,2000Q3,September,39,29,Friday,2000,2000Q3
270,2000-09-30,2000,2000Q3,September,39,30,Saturday,2000,2000Q3
271,2000-10-01,2000,2000Q4,October,39,1,Sunday,2000,2000Q4
272,2000-10-02,2000,2000Q4,October,40,2,Monday,2000,2000Q4
273,2000-10-03,2000,2000Q4,October,40,3,Tuesday,2000,2000Q4
274,2000-10-04,2000,2000Q4,October,40,4,Wednesday,2000,2000Q4
275,2000-10-05,2000,2000Q4,October,40,5,Thursday,2000,2000Q4
276,2000-10-06,2000,2000Q4,October,40,6,Friday,2000,2000Q4
277,2000-10-07,2000,2000Q4,October,40,7,Saturday,2000,2000Q4
278,2000-10-08,2000,2000Q4,October,40,8,Sunday,2000,2000Q4
279,2000-10-09,2000,2000Q4,October,41,9,Monday,2000,2000Q4
280,2000-10-10,2000,2000Q4,October,41,10,Tuesday,2000,2000Q4
281,2000-10-11,2000,2000Q4,October,41,11,Wednesday,2000,2000Q4
282,2000-10-12,2000,2000Q4,October,41,12,Thursday,2000,2000Q4
283,2000-10-13,2000,2000Q4,October,41,13,Friday,2000,2000Q4
284,2000-10-14,2000,2000Q4,October,41,14,Saturday,2000,2000Q4
285,2000-10-15,2000,2000Q4,October,41,15,Sunday,2000,2000Q4
286,2000-10-16,2000,2000Q4,October,42,16,Monday,2000,2000Q4
287,2000-10-17,2000,2000Q4,October,42,17,Tuesday,2000,2000Q4
288,2000-10-18,2000,2000Q4,October,42,18,Wednesday,2000,2000Q4
289,2000-10-19,2000,2000Q4,October,42,19,Thursday,2000,2000Q4
290,2000-10-20,2000,2000Q4,October,42,20,Friday,2000,2000Q4
291,2000-10-21,2000,2000Q4,October,42,21,Saturday,2000,2000Q4
292,2000-10-22,2000,2000Q4,October,42,22,Sunday,2000,2000Q4
293,2000-10-23,2000,2000Q4,October,43,23,Monday,2000,2000Q4
294,2000-10-24,2000,2000Q4,October,43,24,Tuesday,2000,2000Q4
295,2000-10-25,2000,2000Q4,October,43,25,Wednesday,2000,2000Q4
296,2000-10-26,2000,2000Q4,October,43,26,Thursday,2000,2000Q4
297,2000-10-27,2000,2000Q4,October,43,27,Friday,2000,2000Q4
298,2000-10-28,2000,2000Q4,October,43,28,Saturday,2000,2000Q4
299,2000-10-29,2000,2000Q4,October,43,29,Sunday,2000,2000Q4
300,2000-10-30,2000,2000Q4,October,44,30,Monday,2000,2000Q4
301,2000-10-31,2000,2000Q4,October,44,31,Tuesday,2000,2000Q4
302,2000-11-01,2000,2000Q4,November,44,1,Wednesday,2000,2000Q4
303,2000-11-02,2000,2000Q4,November,44,2,Thursday,2000,2000Q4
304,2000-11-03,2000,2000Q4,November,44,3,Friday,2000,2000Q4
305,2000-11-04,2000,2000Q4,November,44,4,Saturday,2000,2000Q4
306,2000-11-05,2000,2000Q4,November,44,5,Sunday,2000,2000Q4
307,2000-11-06,2000,2000Q4,November,45,6,Monday,2000,2000Q4
308,2000-11-07,2000,2000Q4,November,45,7,Tuesday,2000,2000Q4
309,2000-11-08,2000,2000Q4,November,45,8,Wednesday,2000,2000Q4
310,2000-11-09,2000,2000Q4,November,45,9,Thursday,2000,2000Q4
311,2000-11-10,2000,2000Q4,November,45,10,Friday,2000,2000Q4
312,2000-11-11,2000,2000Q4,November,45,11,Saturday,2000,2000Q4
313,2000-11-12,2000,2000Q4,November,45,12,Sunday,2000,2000Q4
314,2000-11-13,2000,2000Q4,November,46,13,Monday,2000,2000Q4
315,2000-11-14,2000,2000Q4,November,46,14,Tuesday,2000,2000Q4
316,2000-11-15,2000,2000Q4,November,46,15,Wednesday,2000,2000Q4
317,2000-11-16,2000,2000Q4,November,46,16,Thursday,2000,2000Q4
318,2000-11-17,2000,2000Q4,November,46,17,Friday,2000,2000Q4
319,2000-11-18,2000,2000Q4,November,46,18,Saturday,2000,2000Q4
320,2000-11-19,2000,2000Q4,November,46,19,Sunday,2000,2000Q4
321,2000-11-20,2000,2000Q4,November,47,20,Monday,2000,2000Q4
322,2000-11-21,2000,2000Q4,November,47,21,Tuesday,2000,2000Q4
323,2000-11-22,2000,2000Q4,November,47,22,Wednesday,2000,2000Q4
324,2000-11-23,2000,2000Q4,November,47,23,Thursday,2000,2000Q4
325,2000-11-24,2000,2000Q4,November,47,24,Friday,2000,2000Q4
326,2000-11-25,2000,2000Q4,November,47,25,Saturday,2000,2000Q4
327,2000-11-26,2000,2000Q4,November,47,26,Sunday,2000,2000Q4
328,2000-11-27,2000,2000Q4,November,48,27,Monday,2000,2000Q4
329,2000-11-28,2000,2000Q4,November,48,28,Tuesday,2000,2000Q4
330,2000-11-29,2000,2000Q4,November,48,29,Wednesday,2000,2000Q4
331,2000-11-30,2000,2000Q4,November,48,30,Thursday,2000,2000Q4
332,2000-12-01,2000,2000Q4,December,48,1,Friday,2000,2000Q4
333,2000-12-02,2000,2000Q4,December,48,2,Saturday,2000,2000Q4
334,2000-12-03,2000,2000Q4,December,48,3,Sunday,2000,2000Q4
335,2000-12-04,2000,2000Q4,December,49,4,Monday,2000,2000Q4
336,2000-12-05,2000,2000Q4,December,49,5,Tuesday,2000,2000Q4
337,2000-12-06,2000,2000Q4,December,49,6,Wednesday,2000,2000Q4
338,2000-12-07,2000,2000Q4,December,49,7,Thursday,2000,2000Q4
339,2000-12-08,2000,2000Q4,December,49,8,Friday,2000,2000Q4
340,2000-12-09,2000,2000Q4,December,49,9,Saturday,2000,2000Q4
341,2000-12-10,2000,2000Q4,December,49,10,Sunday,2000,2000Q4
342,2000-12-11,2000,2000Q4,December,50,11,Monday,2000,2000Q4
343,2000-12-12,2000,2000Q4,December,50,12,Tuesday,2000,2000Q4
344,2000-12-13,2000,2000Q4,December,50,13,Wednesday,2000,2000Q4
345,2000-12-14,2000,2000Q4,December,50,14,Thursday,2000,2000Q4
346,2000-12-15,2000,2000Q4,December,50,15,Friday,2000,2000Q4
347,2000-12-16,2000,2000Q4,December,50,16,Saturday,2000,2000Q4
348,2000-12-17,2000,2000Q4,December,50,17,Sunday,2000,2000Q4
349,2000-12-18,2000,2000Q4,December,51,18,Monday,2000,2000Q4
350,2000-12-19,2000,2000Q4,December,51,19,Tuesday,2000,2000Q4
351,2000-12-20,2000,2000Q4,December,51,20,Wednesday,2000,2000Q4
352,2000-12-21,2000,2000Q4,December,51,21,Thursday,2000,2000Q4
353,2000-12-22,2000,2000Q4,December,51,22,Friday,2000,2000Q4
354,2000-12-23,2000,2000Q4,December,51,23,Saturday,2000,2000Q4
355,2000-12-24,2000,2000Q4,December,51,24,Sunday,2000,2000Q4
356,2000-12-25,2000,2000Q4,December,52,25,Monday,2000,2000Q4
357,2000-12-26,2000,2000Q4,December,52,26,Tuesday,2000,2000Q4
358,2000-12-27,2000,2000Q4,December,52,27,Wednesday,2000,2000Q4
359,2000-12-28,2000,2000Q4,December,52,28,Thursday,2000,2000Q4
360,2000-12-29,2000,2000Q4,December,52,29,Friday,2000,2000Q4
361,2000-12-30,2000,2000Q4,December,52,30,Saturday,2000,2000Q4
362,2000-12-31,2000,2000Q4,December,52,31,Sunday,2000,2000Q4
363,2001-01-01,2001,2001Q1,January,1,1,Monday,2001,2001Q1
364,2001-01-02,2001,2001Q1,January,1,2,Tuesday,2001,2001Q1
365,2001-01-03,2001,2001Q1,January,1,3,Wednesday,2001,2001Q1
