orderid,productid,quantity,unitprice,discount,tax,totalamount,deliverystatus
92,19,28,733.55,20.72,21.60,8852.54,
93,14,64,1958.71,27.46,22.78,1510.84,
94,24,96,876.55,29.54,24.76,727.55,
95,4,87,2357.87,20.58,21.05,8153.71,
96,3,4,1053.47,25.33,21.39,4818.99,
97,24,97,794.72,22.40,21.66,8743.47,
98,39,79,433.43,24.65,28.61,6470.45,
99,23,22,947.73,22.58,26.12,7988.14,
100,39,51,2945.67,28.25,20.77,3138.58,
101,22,46,1797.97,22.96,25.73,6755.33,
102,40,98,1314.57,29.87,21.81,7858.61,
103,23,85,2189.56,28.76,21.52,8819.72,
104,32,93,2071.37,22.23,28.50,7078.82,
105,10,7,1653.71,26.58,27.18,2565.96,
106,17,49,2018.35,28.17,21.33,6758.61,
107,31,24,2705.86,23.20,22.72,5493.85,
108,11,80,1184.06,29.96,27.04,4765.82,
109,15,98,2827.25,21.89,24.06,9341.96,
110,28,91,337.00,27.38,20.62,2082.64,
111,21,40,124.08,22.16,24.89,4108.62,
112,36,21,1457.48,25.16,26.64,9116.17,
113,18,56,1303.59,25.29,29.20,7173.19,
114,36,90,1978.56,26.19,29.18,9067.20,
115,18,29,568.50,26.98,22.17,1172.01,
116,26,76,988.66,20.89,20.79,608.56,
117,4,39,295.54,26.04,24.18,4780.15,
118,16,49,2057.42,25.38,25.81,1386.47,
119,37,78,202.89,27.48,23.23,1276.82,
120,17,7,2353.52,20.95,26.73,8668.32,
121,1,85,785.84,25.81,24.77,4709.19,
122,37,14,1713.92,22.91,21.45,5053.95,
123,25,87,2887.82,24.41,27.15,4867.29,
124,3,43,364.79,25.36,25.31,9022.54,
125,25,100,1351.14,23.66,24.20,5033.19,
126,2,74,2000.18,25.79,26.28,5385.51,
127,30,15,168.57,29.94,26.01,3061.00,
128,40,14,2359.88,28.46,27.74,3461.03,
129,38,66,2101.19,20.79,26.65,6409.41,
130,3,8,2591.56,20.97,22.56,5740.52,
131,32,60,784.08,21.94,20.94,1106.78,
132,25,11,118.97,21.25,23.99,2143.49,
133,10,62,1653.50,21.74,22.50,9695.75,
134,28,25,1150.82,26.43,20.58,2680.96,
135,29,28,2289.63,26.22,22.14,1519.80,
136,36,50,1056.15,21.11,27.94,9198.76,
137,1,13,993.83,26.78,25.14,7926.82,
138,10,24,2236.58,26.01,25.14,7860.02,
139,19,33,2299.73,20.31,20.44,1125.64,
140,28,76,1265.90,20.55,26.46,3638.19,
141,2,41,2565.42,21.37,24.58,2330.62,
142,11,35,1499.26,22.33,28.77,1372.57,
143,40,40,1822.64,21.49,22.20,6673.23,
144,17,9,1098.87,28.32,28.37,6235.42,
145,28,83,2033.78,24.47,24.05,9823.39,
146,2,81,409.73,27.03,21.89,3443.47,
147,19,71,2139.90,25.08,26.58,9530.29,
148,37,10,1997.31,22.51,28.14,5365.94,
149,21,18,1136.06,26.30,22.17,2475.87,
150,40,38,2032.74,22.43,23.49,1065.67,
151,32,57,2574.94,23.34,23.75,3626.71,
152,4,1,1444.28,29.46,29.72,8057.30,
153,17,27,1936.29,23.76,27.47,697.07,
154,17,81,1523.28,27.48,22.31,1462.63,
155,12,80,900.81,27.37,23.24,2062.12,
156,16,69,1484.17,29.87,27.12,1831.12,
157,23,23,413.94,25.79,28.01,7351.03,
158,19,84,1132.92,24.35,22.05,3517.73,
159,3,95,2542.20,29.57,21.74,3415.66,
160,20,66,2964.75,25.18,20.30,4118.31,
161,38,80,897.53,23.25,20.16,4986.14,
162,39,31,1920.34,24.05,27.81,7273.82,
163,18,65,1983.01,27.49,26.54,3182.89,
164,7,71,2295.95,29.96,28.88,9528.98,
165,5,47,2638.34,20.69,26.84,4295.50,
166,4,90,2210.35,27.62,25.34,1091.85,
167,15,12,1457.49,21.58,22.67,2541.57,
168,4,47,1984.69,23.02,22.18,504.39,
169,38,3,435.27,25.76,20.27,4132.51,
170,7,58,1043.82,23.18,20.30,2360.14,
171,29,98,2051.64,23.01,28.21,244.28,
172,12,92,1401.98,22.22,27.67,6016.93,
173,15,56,2726.85,20.26,23.08,534.96,
174,31,70,377.13,23.21,27.06,786.69,
175,39,85,2007.52,20.60,22.65,4017.89,
176,23,11,1136.29,22.84,21.63,2613.77,
177,37,74,1986.66,27.17,27.87,6487.36,
178,4,45,2625.84,28.70,25.22,9377.53,
179,13,34,1863.87,24.92,27.28,2340.06,
180,25,91,1546.01,25.93,26.45,3555.87,
181,30,90,2710.40,22.59,29.15,4011.76,
182,18,28,1263.34,21.12,22.75,3896.18,
183,9,64,2604.58,20.61,21.24,4320.51,
184,40,3,988.30,25.93,25.61,2237.72,
185,1,78,2204.81,23.03,28.47,6088.89,
186,27,50,1074.27,25.69,21.93,660.86,
187,26,13,826.76,24.64,29.37,5063.48,
188,24,39,2410.06,29.49,25.60,9746.94,
189,35,39,162.87,23.11,25.20,8835.24,
190,29,82,1971.34,24.40,25.81,3465.76,
191,26,18,835.89,26.54,28.50,1018.09,
192,33,44,1832.09,27.92,26.53,9289.12,
193,8,75,2706.22,26.81,27.95,2256.56,
194,6,12,251.89,23.94,22.21,2082.44,
195,3,79,1612.06,27.39,29.31,1998.40,
196,18,52,2954.78,27.98,28.23,6451.42,
197,4,70,2234.27,21.19,24.37,4739.17,
198,21,19,80.61,22.40,20.96,6888.45,
199,24,84,2791.28,26.94,28.56,1540.25,
200,34,9,535.14,25.41,20.71,9603.69,
201,39,82,140.35,22.86,25.15,2605.99,
202,24,1,676.27,27.41,20.98,3714.81,
203,18,35,1549.60,21.47,26.27,7690.53,
204,13,14,2307.57,29.92,28.32,5094.07,
205,15,26,1552.67,28.58,24.00,2202.49,
206,39,44,361.87,24.98,27.41,8085.74,
207,31,54,2961.47,22.81,28.01,9429.18,
208,28,79,2824.57,20.36,27.18,1521.34,
209,26,51,1530.87,22.98,27.41,587.83,
210,14,43,1225.59,25.49,29.77,6059.73,
211,10,92,1628.08,25.35,25.36,8566.61,
212,11,22,2938.47,22.12,29.52,221.89,
213,29,100,1697.64,27.00,27.10,6425.52,
214,31,6,2692.70,24.99,28.81,464.37,
215,12,51,2369.10,20.07,23.35,6314.27,
216,20,26,44.41,25.88,22.04,8223.25,
217,30,47,614.13,24.16,29.36,4538.95,
218,13,56,2993.39,26.34,21.58,8633.26,
219,32,76,702.94,23.38,22.23,572.19,
220,12,16,2893.50,28.31,24.25,3647.94,
221,13,76,2577.81,22.63,23.50,7581.07,
222,10,25,2890.99,26.89,29.75,1724.34,
223,29,76,938.88,29.52,27.44,1469.64,
224,4,15,2758.57,21.70,24.87,5231.81,
225,23,78,190.28,26.40,25.74,8956.15,
226,5,20,163.21,24.94,29.66,3297.74,
227,3,57,2226.93,25.43,29.49,6730.04,
228,3,59,1581.76,22.09,25.59,4572.40,
229,14,33,2435.65,25.50,29.29,7234.21,
230,36,13,699.94,26.01,24.27,3369.73,
231,28,36,2140.70,29.98,29.68,5502.94,
232,33,90,2880.53,20.72,20.47,5793.54,
233,28,55,515.03,25.96,23.23,1521.64,
234,30,49,2818.48,29.61,27.49,4917.72,
235,40,40,1135.42,26.88,20.38,8189.46,
236,25,58,1129.59,25.18,29.71,3425.68,
237,8,10,2787.84,28.32,25.29,287.37,
238,15,50,1101.40,28.60,27.00,941.34,
239,31,91,540.40,22.05,20.05,5464.88,
240,38,32,2130.94,21.91,20.74,4401.69,
241,4,48,1270.54,22.85,24.69,7802.07,
242,8,28,1884.42,23.59,27.70,4987.33,
243,39,43,2038.73,21.93,20.86,1579.82,
244,40,69,2229.17,23.74,20.21,9039.78,
245,17,41,2690.45,27.83,22.68,1309.84,
246,39,76,786.58,28.16,20.50,8680.49,
247,23,16,1813.85,24.92,22.38,7013.81,
248,13,88,1533.39,27.52,24.16,2309.92,
249,2,22,2278.42,24.45,29.60,997.52,
250,36,70,465.35,28.33,20.09,5905.64,
251,10,87,2966.86,20.66,28.97,5631.36,
252,11,74,2387.06,20.05,24.87,9022.81,
253,33,32,2504.39,27.23,28.29,8309.23,
254,36,97,2070.11,23.26,26.73,4681.98,
255,30,46,1157.86,24.65,21.34,551.63,
256,33,29,1139.30,29.53,20.94,4781.01,
257,4,44,2101.97,21.79,20.48,3117.99,
258,7,13,1045.45,21.36,21.43,1135.60,
259,2,57,2836.36,26.31,21.63,8408.84,
260,25,33,1246.92,27.51,24.47,8854.78,
261,4,58,604.88,20.17,24.69,9522.20,
262,33,65,2651.97,22.75,24.54,2182.94,
263,26,36,530.47,23.96,26.41,662.36,
264,25,90,2510.14,22.97,21.65,4169.43,
265,15,79,1175.87,24.93,24.24,4235.22,
266,21,24,963.34,23.85,21.89,6563.84,
267,25,53,2471.90,20.15,20.79,1067.11,
268,37,58,2656.40,29.10,23.66,4430.23,
269,3,28,197.33,26.22,29.37,5098.22,
270,28,88,1895.96,22.21,25.99,6361.89,
271,11,99,316.83,23.93,26.02,7294.20,
272,39,16,835.55,20.19,21.46,9892.27,
273,39,44,215.78,27.57,24.75,8496.37,
274,37,50,2827.20,24.79,22.66,1336.93,
275,27,62,1156.37,21.45,28.27,5055.89,
276,28,95,2360.76,27.02,23.81,362.44,
277,11,55,711.49,20.34,21.78,9065.50,
278,33,51,1073.08,21.72,25.79,4755.38,
279,5,44,1411.70,29.99,20.59,3734.01,
280,28,58,1513.09,20.66,24.34,6174.65,
281,5,34,1351.78,28.26,22.45,3992.90,
282,6,11,2563.75,27.04,27.29,7557.27,
283,1,97,1845.39,22.85,24.77,227.58,
284,21,11,1940.85,23.85,28.81,5730.73,
285,3,94,1485.04,24.80,29.51,1299.31,
286,14,97,1190.86,27.01,23.88,6283.35,
287,19,40,2544.74,22.11,29.65,3223.19,
288,29,8,2609.46,20.82,23.24,8994.14,
289,33,92,1057.78,29.11,28.95,8469.42,
290,4,37,199.40,26.76,26.74,9063.97,
291,5,59,949.92,27.89,22.26,1040.86,
292,10,5,1210.62,26.18,20.93,6330.45,
293,27,40,1411.44,25.67,25.87,9775.00,
294,30,66,487.55,23.00,24.76,9863.94,
295,13,98,2763.06,28.56,24.67,5681.31,
296,27,34,863.39,27.56,28.80,5562.61,
297,14,5,1767.86,21.00,24.80,2426.17,
298,26,40,828.05,26.77,26.89,7479.19,
299,8,56,1686.41,28.66,21.76,1660.01,
300,32,79,1544.02,23.27,26.38,5969.64,
301,39,33,958.16,20.34,21.68,7081.08,
302,15,10,2538.31,25.28,26.19,7389.92,
303,32,80,1081.81,23.49,20.90,650.41,
304,36,69,2903.36,23.63,25.80,2372.20,
305,40,100,1671.88,28.70,22.59,8935.44,
306,7,44,2651.39,28.50,25.24,7224.41,
307,21,55,447.19,23.07,24.80,3137.44,
308,10,66,2033.86,27.25,23.48,5763.77,
309,35,65,1515.57,22.92,27.57,8639.56,
310,37,95,975.40,25.09,28.92,7416.29,
311,4,53,1545.12,20.64,22.55,6162.52,
312,32,1,439.39,26.26,21.90,9034.16,
313,35,64,1339.99,23.37,28.30,6582.36,
314,16,63,1466.33,23.42,23.77,3914.39,
315,22,72,282.15,29.26,24.21,9672.87,
316,28,7,2487.04,22.20,24.18,8447.20,
317,24,99,1501.14,25.03,22.79,3671.86,
318,21,63,2957.62,26.31,25.23,7337.23,
319,18,50,1754.26,24.20,24.52,6068.93,
320,35,32,509.47,26.97,29.31,2559.35,
321,34,16,2812.15,25.86,21.78,267.48,
322,27,33,1040.61,22.04,27.97,5494.55,
323,27,69,171.52,21.34,25.41,5141.24,
324,21,8,1463.01,23.66,27.15,3463.22,
325,23,92,539.02,23.36,24.85,1595.56,
326,14,29,902.68,26.35,25.45,5922.79,
327,19,13,1090.93,25.58,22.15,7249.47,
328,2,90,2264.43,27.06,27.37,4397.95,
329,24,53,1359.46,25.54,26.02,6222.53,
330,25,83,2751.31,24.85,24.67,3665.70,
331,22,100,1972.02,20.27,29.00,9363.57,
332,13,53,2813.80,26.61,21.52,5665.03,
333,8,44,2483.42,26.76,26.32,4930.40,
334,31,22,2507.59,24.78,28.72,2191.19,
335,39,21,745.04,28.15,22.68,423.09,
336,4,73,1929.38,27.97,27.79,5981.02,
337,24,59,937.28,21.85,27.41,5206.61,
338,21,68,1999.83,22.71,27.52,3227.99,
339,35,30,2189.07,24.44,24.69,8958.33,
340,21,67,1651.88,23.85,25.30,2152.12,
341,3,88,900.86,26.94,28.79,3266.84,
342,13,10,2281.44,25.40,22.70,8759.80,
343,30,95,1363.53,23.19,26.35,3164.81,
344,29,43,2913.10,21.47,23.78,8178.89,
345,7,46,402.55,26.47,22.17,1297.71,
346,14,25,509.91,28.41,29.61,9314.11,
347,35,69,360.92,29.74,29.96,3533.23,
348,11,99,1319.15,27.35,26.23,7208.52,
349,25,33,2343.12,28.83,22.66,8534.58,
350,23,76,180.63,20.02,23.08,7699.99,
351,3,1,371.49,28.97,21.44,8487.83,
352,32,78,2519.68,26.61,29.84,9796.64,
353,15,59,1585.15,25.86,22.85,1649.97,
354,40,27,160.81,20.12,22.06,5974.77,
355,22,43,2161.03,23.85,26.33,7452.13,
356,1,88,2922.52,21.45,26.14,4387.89,
357,17,55,627.30,20.89,21.04,9522.02,
358,38,31,525.69,21.79,27.75,3356.16,
359,18,6,2650.56,29.22,24.73,9022.95,
360,11,35,1531.42,25.88,23.77,8052.33,
361,26,56,2810.84,28.46,24.84,9471.97,
362,3,67,553.22,26.53,26.96,3660.97,
363,16,18,1616.89,29.44,22.35,1432.85,
364,27,14,1171.85,25.91,26.01,9316.95,
365,26,3,1356.80,27.18,28.95,1613.61,
366,10,55,1738.06,28.76,23.52,7631.54,
367,2,18,737.52,24.70,28.71,9934.71,
368,3,89,1738.10,26.36,22.68,3179.41,
369,32,14,403.99,23.63,26.07,8309.05,
370,35,29,359.41,24.02,24.84,3714.98,
371,14,10,650.44,21.23,26.69,4597.20,
372,36,63,2198.22,23.61,26.36,2188.61,
373,31,17,340.57,24.73,27.77,4848.65,
374,31,60,2437.25,23.72,25.80,5074.68,
375,3,83,1309.53,26.16,25.00,8637.92,
376,39,66,2627.40,27.49,24.41,2163.18,
377,17,10,309.09,22.97,24.65,3276.98,
378,37,70,2987.91,25.54,26.06,8144.02,
379,2,89,2749.55,22.26,20.83,9564.63,
380,26,26,2670.24,29.36,23.22,1039.56,
381,27,31,1250.28,25.71,22.31,2117.03,
382,39,1,2080.84,21.02,21.22,2953.42,
383,3,59,2317.23,20.93,23.01,966.29,
384,25,80,2073.70,20.69,25.22,7663.72,
385,26,28,1703.36,27.06,23.18,3030.87,
386,35,78,2081.37,24.98,26.93,4101.75,
387,16,12,2933.88,28.84,21.48,2391.07,
388,33,92,620.09,23.09,26.43,3839.67,
389,37,23,1868.17,28.17,23.77,1122.41,
390,25,64,1739.30,24.89,27.72,3205.42,
391,13,83,936.42,24.07,20.84,5941.04,
392,27,24,1105.03,21.97,26.29,673.57,
393,22,33,2518.42,28.18,29.63,2246.74,
394,35,84,1477.67,25.51,27.19,9666.16,
395,26,84,2308.07,29.58,24.21,8424.14,
396,37,12,1306.07,21.34,28.97,1390.50,
397,30,61,225.97,26.33,29.03,4206.91,
398,16,50,1975.92,22.66,26.18,1860.62,
399,38,65,2535.19,28.18,21.61,4414.10,
400,6,53,1645.04,20.76,22.00,4950.25,
401,5,48,117.62,26.56,21.03,1220.71,
402,34,41,903.49,20.10,21.57,1849.77,
403,30,78,735.88,29.72,24.77,5104.09,
404,26,44,2386.44,23.37,29.58,9213.20,
405,15,52,619.93,28.36,20.52,8037.74,
406,2,22,1330.52,28.16,21.12,7415.05,
407,9,88,1878.31,22.27,27.37,6160.26,
408,26,19,1038.02,23.43,27.35,8502.41,
409,2,20,1020.61,21.57,26.28,5649.28,
410,16,17,2425.65,25.36,20.35,6930.89,
411,39,47,999.86,29.71,27.44,8835.64,
412,40,66,2671.69,28.26,29.96,6889.53,
413,8,61,977.80,20.98,24.56,5248.89,
414,30,38,2257.45,24.43,28.41,1047.36,
415,19,22,830.26,22.43,20.82,2398.25,
416,15,74,2496.40,23.04,27.98,9537.97,
417,3,65,2362.17,21.43,22.04,8127.98,
418,1,9,1147.60,21.47,23.42,8050.40,
419,24,97,2884.51,20.43,24.59,9776.42,
420,36,19,201.43,28.37,21.95,5759.68,
421,32,97,2494.90,29.16,29.44,3446.26,
422,38,75,2785.69,22.21,28.27,7099.73,
423,21,95,462.20,23.01,24.79,7334.11,
424,24,79,1408.92,28.73,27.49,3776.22,
425,13,79,1115.34,24.09,24.25,5686.99,
426,2,28,655.13,24.42,26.44,2715.24,
427,27,100,1568.54,24.19,20.94,1204.71,
428,35,100,471.50,24.71,29.50,5514.58,
429,30,20,744.40,26.11,28.05,9524.47,
430,10,99,1411.02,26.07,27.39,4237.51,
431,30,60,1475.41,22.30,29.38,8047.30,
432,17,47,2817.35,22.97,23.94,361.25,
433,11,14,2057.54,23.47,27.72,687.33,
434,28,35,436.26,22.80,24.23,3866.36,
435,12,97,2888.39,21.84,20.47,9682.94,
436,2,59,2818.08,28.30,20.64,9639.29,
437,19,78,2578.64,21.96,22.13,3492.89,
438,17,67,1416.71,20.59,26.06,2670.85,
439,35,9,2004.76,26.93,27.31,3474.20,
440,14,35,1943.09,24.73,23.91,1367.15,
441,12,30,1859.28,27.75,24.06,4882.18,
442,26,15,2951.74,21.18,24.52,2133.07,
443,36,67,1515.53,23.17,29.98,5681.18,
444,8,69,2045.16,21.14,27.40,2311.02,
445,7,54,694.97,29.87,20.73,5568.52,
446,16,68,668.62,20.90,22.38,9461.21,
447,21,2,1245.30,26.27,23.19,9945.05,
448,36,49,282.57,28.06,26.11,815.17,
449,39,69,2825.33,28.07,22.75,5492.19,
450,21,22,2642.29,23.71,23.59,7048.54,
451,6,23,2087.37,29.78,22.73,1001.08,
452,2,62,86.68,20.52,26.96,5961.38,
453,29,54,2568.91,21.41,29.48,3155.94,
454,36,86,792.21,26.97,29.14,9214.88,
455,24,99,874.31,28.42,29.47,9188.48,
456,9,71,699.24,21.94,21.56,8586.32,
457,19,43,2624.87,20.88,24.72,3243.18,
458,17,37,1615.13,29.40,28.64,3893.63,
459,16,31,1287.25,29.86,24.90,3100.01,
460,4,7,1443.57,28.85,29.66,8606.32,
461,19,88,608.12,22.72,22.33,7402.01,
462,39,98,1396.97,21.53,26.89,2223.94,
463,32,17,2395.51,28.17,27.31,3764.84,
464,17,9,2104.71,27.81,23.44,7905.99,
465,24,19,2814.62,28.58,28.23,2928.44,
466,32,64,478.82,28.63,28.31,9566.06,
467,20,74,160.81,20.81,24.94,449.96,
468,10,83,75.82,24.89,23.30,2746.54,
469,21,43,738.19,27.95,25.51,2548.53,
470,23,48,2050.48,28.97,24.17,5387.81,
471,8,88,277.22,25.15,26.28,1088.89,
472,36,71,494.88,22.07,23.67,4599.86,
473,27,75,1585.78,26.23,25.89,8021.65,
474,32,61,2015.64,25.87,24.98,1852.22,
475,39,58,1191.67,21.66,29.05,768.13,
476,8,5,492.49,23.18,29.47,5325.31,
477,8,17,2375.88,21.45,25.11,2206.72,
478,20,84,729.99,28.12,24.52,4115.81,
479,35,83,1515.43,24.75,22.51,6433.06,
480,20,69,504.55,24.59,24.73,9015.82,
481,29,13,2306.15,22.15,27.73,5120.35,
482,40,52,862.57,23.48,22.16,6699.06,
483,30,22,954.16,22.35,28.62,9759.75,
484,39,81,1843.76,25.19,29.18,5935.71,
485,13,91,723.89,23.48,22.60,9039.38,
486,40,97,1230.84,28.82,24.54,2187.24,
487,20,96,1636.84,20.64,20.48,7863.38,
488,15,57,1451.85,24.12,27.25,3867.90,
489,36,28,1316.15,28.68,27.46,6818.12,
490,32,9,302.44,26.16,28.24,4297.16,
491,2,91,1615.38,29.07,25.95,2260.51,
492,6,85,2935.35,20.56,29.33,1952.86,
493,37,77,1903.58,26.45,21.72,1002.49,
494,28,91,402.45,28.88,27.36,2989.18,
495,3,9,1229.83,22.34,29.91,2452.66,
496,40,45,1831.60,21.61,22.79,6751.11,
497,18,38,1203.50,28.81,23.94,1880.70,
498,33,60,706.74,20.92,29.47,7095.48,
499,25,75,2022.31,22.32,28.63,9805.39,
500,7,55,2936.27,21.35,21.84,6296.96,
